Name,ID
Enterprise ATT&CK,95ecc380-afe9-11e4-9b6c-751b66dd541e
PRE-ATT&CK,062767bd-02d2-4b72-84ba-56caef0f8658
Mobile ATT&CK,2f669986-b40b-4423-b720-4396ca6a462b
ICS ATT&CK,02c3ef24-9cd4-48f3-a99f-b74ce24f1d34
